Gender,Characteristic,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,"	 18 years and over","42,749",411,"1,049","2,311","1,434","1,582",919,"2,783","13,849","6,913","1,534","2,121","5,635","1,729",261,219
Both Sexes,"		  18 to 24 years","6,856",12,6,52,63,113,132,867,"2,528","2,212",156,262,429,19,4,0
Both Sexes,"	 25 years and over","35,893",399,"1,042","2,259","1,371","1,469",786,"1,916","11,321","4,701","1,378","1,858","5,206","1,710",257,219
Both Sexes,"		  25 to 29 years","4,972",19,22,80,51,111,57,232,"1,810",904,209,323,918,188,33,13
Both Sexes,"		  30 to 34 years","4,557",10,46,144,91,183,97,298,"1,463",730,207,262,738,244,21,25
Both Sexes,"		  35 to 39 years","4,459",21,87,251,160,216,133,243,"1,361",580,165,235,727,219,35,25
Both Sexes,"		  40 to 44 years","4,260",24,93,275,192,219,93,227,"1,363",514,166,203,605,245,16,25
Both Sexes,"		  45 to 49 years","3,889",52,91,281,165,154,86,187,"1,198",449,181,198,572,203,37,36
Both Sexes,"		  50 to 54 years","3,391",55,114,217,184,174,74,193,"1,090",355,122,170,461,142,22,19
Both Sexes,"		  55 to 59 years","3,008",31,148,249,137,118,85,154,920,380,102,140,371,125,30,18
Both Sexes,"		  60 to 64 years","2,353",52,114,222,93,91,36,133,690,285,85,135,266,123,17,13
Both Sexes,"		  65 to 69 years","1,742",26,88,186,93,61,26,87,503,185,61,89,221,80,14,20
Both Sexes,"		  70 to 74 years","1,422",54,83,135,102,67,41,71,358,163,46,47,156,76,11,11
Both Sexes,"	 75 years and over","1,840",56,158,220,103,73,57,91,566,157,34,57,171,65,20,14
Male,"	 18 years and over","21,318",225,589,"1,179",732,796,513,"1,538","7,374","3,225",711,899,"2,535",759,135,107
Male,"		  18 to 24 years","3,476",3,3,24,34,58,77,490,"1,421","1,017",64,116,165,2,2,0
Male,"	 25 years and over","17,842",223,587,"1,154",698,738,436,"1,048","5,953","2,208",647,783,"2,370",756,133,107
Male,"		  25 to 29 years","2,592",17,18,49,14,64,39,147,"1,020",464,99,155,405,84,11,8
Male,"		  30 to 34 years","2,320",4,28,86,61,94,56,186,803,352,107,121,328,73,13,5
Male,"		  35 to 39 years","2,297",11,55,148,90,114,68,142,771,264,80,103,322,106,20,4
Male,"		  40 to 44 years","2,180",16,56,135,96,136,48,118,790,226,77,86,276,100,6,15
Male,"		  45 to 49 years","1,961",35,53,162,71,68,46,111,655,220,76,73,274,87,14,17
Male,"		  50 to 54 years","1,677",32,80,111,117,72,51,86,567,133,54,58,222,69,15,10
Male,"		  55 to 59 years","1,490",12,77,122,64,46,50,83,455,195,46,62,178,72,14,13
Male,"		  60 to 64 years","1,137",33,78,100,49,48,16,79,329,134,43,48,102,62,10,7
Male,"		  65 to 69 years",789,17,45,91,49,30,14,31,200,75,23,38,121,33,8,15
Male,"		  70 to 74 years",620,31,37,50,41,34,22,34,141,83,25,19,59,31,8,5
Male,"	 75 years and over",780,15,61,101,45,31,25,31,222,62,16,22,85,40,14,10
Female,"	 18 years and over","21,430",185,459,"1,132",703,786,406,"1,244","6,475","3,688",823,"1,222","3,099",970,126,112
Female,"		  18 to 24 years","3,379",9,4,28,29,55,55,377,"1,107","1,194",92,146,264,17,2,0
Female,"	 25 years and over","18,051",176,456,"1,104",673,731,351,868,"5,368","2,493",730,"1,075","2,836",954,124,112
Female,"		  25 to 29 years","2,380",2,4,31,37,48,18,86,790,440,110,169,513,105,22,6
Female,"		  30 to 34 years","2,238",5,17,58,30,88,41,112,659,379,100,141,410,171,8,20
Female,"		  35 to 39 years","2,161",11,32,103,69,103,65,100,590,316,85,132,405,114,15,21
Female,"		  40 to 44 years","2,080",8,38,140,96,83,45,109,572,288,89,117,329,145,10,10
Female,"		  45 to 49 years","1,929",17,38,119,94,86,40,76,543,229,105,125,299,116,23,19
Female,"		  50 to 54 years","1,714",23,34,105,67,102,23,107,523,222,68,112,239,73,7,9
Female,"		  55 to 59 years","1,519",19,71,127,73,72,36,71,465,185,56,79,193,53,15,5
Female,"		  60 to 64 years","1,216",19,36,122,44,43,20,55,361,150,42,86,164,60,7,6
Female,"		  65 to 69 years",953,10,43,95,44,30,12,56,304,110,38,52,101,47,6,6
Female,"		  70 to 74 years",802,22,46,86,61,33,19,37,217,79,21,29,98,45,4,6
Female,"	 75 years and over","1,060",41,97,119,57,42,31,61,344,95,18,34,86,25,6,4
,,,,,,,,,,,,,,,,,
